"text","language","style"
"当天下午她们在这块场地上训练了一个小时，本来训练只对媒体开放１５分钟，但英足总工作人员发现前来采访的记者太少，干脆将中国队和随后英格兰队的训练全程开放。","ch","news"
"最后他说香港是多元种族社会，别担心，我们没有憎恨。 杜汶泽否认退出娱乐圈&nbsp;盘点惨遭封杀的明星/图 2001年底，赵薇为（时装）杂志拍摄的一张图片引起了巨大争议，一些人指责赵薇身着服装图案酷似日本军旗。","ch","news"
"在出席韩国某活动中，范冰冰身着粉色花朵X型短裙亮相，小v口的设计，让锁骨在薄纱间喘了口气，腰带是打造X型的法宝，虽然并不是特别典型的X型，但是修身与唯美的效果同时展现。","ch","news"
"巴西世界杯是现年３６岁的克洛泽参加的第四届世界杯。 克洛泽表示：“我的那个进球只是当时我的站位非常好。","ch","news"
"旅行最大挑战来袭，巴塞罗那那个谜一样的夜晚，究竟发生了哪些事情？ ”结果等网友看完节目才恍然大悟，这些戏码只出现在第五期预告片里，要看的话恐怕还有再等一周。","ch","news"
"在德国队的巴西世界杯小组赛首战中，托马斯·穆勒独中三元完成“帽子戏法”。 在18日接受采访时，德国足坛名宿、曾长期保持世界杯进球纪录的盖德·穆勒表示，他相信托马斯可以打破世界杯进球纪录。","ch","news"
"其中，辽宁济康医药有限公司虚开增值税专用发票，董事长王晶明等13人被判处有期徒刑12年至1年不等。","ch","news"
"也许就是这种亦阳亦阴的个性，表现了一个真正的钟越民！ 刘烨的特质很复杂，比较丰富。 只有这样的演员，才能演绎得出丰富的感觉，使得钟跃民这个可能被演绎成糙老爷们的角色有了多层次的感觉和吸引力。","ch","news"
"毛主席的第二个批示说的就是这样一个问题。 而上海是受到表扬的，他们提出要大演大写解放后的13年。","ch","news"
"因此，日本政府对日共采取全面镇压时，台湾共产党几乎瞬间瓦解。 日本投降后，由中共中央派遣回台的台湾籍干部长年在大陆参与革命工作，跟家乡已有隔阂，对于台湾在日本殖民近代化下的社会状况也需要时间学习。","ch","news"
"１９日的马球比赛是系列赛事中的重中之重。 ４支代表队共计３２人参加了比赛。 参赛者乘高头大马，手持球槌在旷野间激烈追逐。","ch","news"
"除工作外，苏方也经常为胡济邦组织马列主义的理论学习，介绍国内斗争情况、国际形势，苏联同志解释说：这就是“特殊的组织关系”。","ch","news"
"情报中心经过授权可以调阅全部上报信息线索，局领导可以对信息员及信息线索进行汇总分析。","ch","news"
"陆一帆说：“霍顿的成绩并不是今年才这么好，从巴塞罗那世锦赛时他就游得不错。 不过一次３分４２秒说明不了什么问题，他要想拿世界冠军一定要破３分４２秒，当然我希望他游得更好。","ch","news"
"我的户籍重庆石柱土家族自治县，本人属于少数民族； 老婆是四川广安武胜县万善镇的人，我们以前都是农村人，读书毕业后都变成了城镇户口。","ch","news"
"手臂过短的人平时要多活动双臂，还可以培养能使手臂灵活的绘画或陶艺等爱好。 身高影响寿命！","ch","news"
"芹菜去叶，切为小段； 小洋葱剥除老皮，切碎为丁，共入榨汁机榨汁饮服。 每日一次。 女性养生：13种便宜食物&nbsp;解决脸上瑕疵","ch","news"
"在剔除可售型保障性住房后，2013年中国35个大中城市房价收入比均值为10.2，其中北京、上海、深圳、福州4个城市遥遥领先，北京高达19.1位居榜首。","ch","news"
"记者：那在你看来，艾山·买合苏木跟本·拉登关系好到什么程度呢？ 木塔里甫·哈斯木：他对艾山·买合苏木的帮助来说，什么都可以舍去。","ch","news"
