"text","language","style"
"It is possible that a very considerable number of people in London stuck to their houses through Monday morning. Certain it is that many died at home suffocated by the Black Smoke. Until about midday the Pool of London was an astonishing scene. Steamboats and shipping of all sorts lay there, tempted by the enormous sums of money offered by fugitives, and it is said that many who swam out to these vessels were thrust off with boathooks and drowned.","en","literature"
"In quest of these Ulysses took a long journey while still quite young, for his father and the other chieftains sent him on a mission to recover them. Iphitus had gone there also to try and get back twelve brood mares that he had lost, and the mule foals that were running with them.","en","literature"
"'Think'st thou with me? fair empress of the skies! (The immortal father with a smile replies) Then soon the haughty seagod shall obey, Nor dare to act but when we point the way. If truth inspires thy tongue, proclaim our will To yon bright synod on the Olympian hill Our high decree let various Iris know, And call the god that bears the silver bow.","en","literature"
"For, friend John, hardly had my knife severed the head of each, before the whole body began to melt away and crumble in to its native dust, as though the death that should have come centuries agone had at last assert himself and say at once and loud 'I am here!","en","literature"
"And Cain was so fully convinced, that every one had a right to destroy such a criminal, that after the murder of his brother, he cries out, Every one that findeth me, shall slay me so plain was it writ in the hearts of all mankind. Sect. . By the same reason may a man in the state of nature punish the lesser breaches of that law.","en","literature"
"It may be that I shall yet stand your friend, if you deserve it, and repent in actionnot in words. I want no more words. Mr. Cruncher knuckled his forehead, as Sydney Carton and the spy returned from the dark room. 'Adieu, Mr. Barsad, said the former 'our arrangement thus made, you have nothing to fear from me.","en","literature"
"He is eloquent and persuasive, and once his words had even power over my heart but trust him not. His soul is as hellish as his form, full of treachery and fiendlike malice. Hear him not call on the names of William, Justine, Clerval, Elizabeth, my father, and of the wretched Victor, and thrust your sword into his heart.","en","literature"
"Raskolnikov wondered, but he tried to overtake him. When he was within ten paces he recognised him and was frightened it was the same man with stooping shoulders in the long coat. Raskolnikov followed him at a distance his heart was beating they went down a turning the man still did not look round.","en","literature"
"Not thus fair Venus helps her favour'd knight, The queen of pleasures shares the toils of fight, Each danger wards, and constant in her care, Saves in the moment of the last despair. Her act has rescued Paris' forfeit life, Though great Atrides gain'd the glorious strife. Then say, ye powers!","en","literature"
"But only fancy, he's been to see Lise and I knew nothing about it! 'How? What? When? Alyosha was exceedingly surprised. He had not sat down again and listened standing. 'I will tell you that's perhaps why I asked you to come, for I don't know now why I did ask you to come.","en","literature"
"She returned to the nursery, and found Nana with something in her mouth, which proved to be the boy's shadow. As he leapt at the window Nana had closed it quickly, too late to catch him, but his shadow had not had time to get out slam went the window and snapped it off.","en","literature"
"He would feel himself in the right and the declarationmade, of course, as a man of sense would make it, in a proper mannerwould do him more good, raise him higher, fix his interest stronger with the people he depended on, than all that a line of shifts and expedients can ever do.","en","literature"
"A grand piano stood massively in a corner with dark gleams on the flat surfaces like a sombre and polished sarcophagus. A high door openedclosed. I rose. 'She came forward, all in black, with a pale head, floating towards me in the dusk. She was in mourning. It was more than a year since his death, more than a year since the news came she seemed as though she would remember and mourn forever.","en","literature"
"I was all dismayed. Jove, however, sent the ship's mast within my reach, which saved my life, for I clung to it, and drifted before the fury of the gale. Nine days did I drift but in the darkness of the tenth night a great wave bore me on to the Thesprotian coast.","en","literature"
"In vain handspikes and crows were brought to bear upon the immovable flukechains, to pry them adrift from the timberheads and so low had the whale now settled that the submerged ends could not be at all approached, while every moment whole tons of ponderosity seemed added to the sinking bulk, and the ship seemed on the point of going over.","en","literature"
"With a shock he became aware of me, and was severely visited as before but this time his motion was rotatory, and he staggered round and round me with knees more afflicted, and with uplifted hands as if beseeching for mercy. His sufferings were hailed with the greatest joy by a knot of spectators, and I felt utterly confounded.","en","literature"
"I said Mrs. Heathcliff lived above a dozen years after quitting her husband. Her family were of a delicate constitution she and Edgar both lacked the ruddy health that you will generally meet in these parts. What her last illness was, I am not certain I conjecture, they died of the same thing, a kind of fever, slow at its commencement, but incurable, and rapidly consuming life towards the close.","en","literature"
"And when the storm comes, and the mighty wind shakes the forest, and thunder and lightning proclaim the majesty of the sky,then let your heart say in awe, 'God moves in passion. And since you are a breath in God's sphere, and a leaf in God's forest, you too should rest in reason and move in passion.","en","literature"
"But then our body, as a part of this external world, would be the work of our organs! But then our organs themselves would be the work of our organs! It seems to me that this is a complete REDUCTIO AD ABSURDUM, if the conception CAUSA SUI is something fundamentally absurd.","en","literature"
"I often refused to accompany him, alleging another engagement, that I might remain alone. I now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head. Every thought that was devoted to it was an extreme anguish, and every word that I spoke in allusion to it caused my lips to quiver, and my heart to palpitate.","en","literature"
"Since the introduction of the foreign system of medicine and nursing, the Japanese realize so acutely the lack of conveniences and appliances for nursing the sick in their own homes, that cases of severe or even serious illness are usually sent to hospitals, where the invalids can have the comforts that even the wealthy Japanese homes cannot furnish.","en","literature"
"thought Levin, packing the warm and fat grouse into his game bag. 'Eh, Laska, will it be good? When Levin, after loading his gun, moved on, the sun had fully risen, though unseen behind the stormclouds. The moon had lost all of its luster, and was like a white cloud in the sky.","en","literature"
"'It is a swamp adder! cried Holmes 'the deadliest snake in India. He has died within ten seconds of being bitten. Violence does, in truth, recoil upon the violent, and the schemer falls into the pit which he digs for another. Let us thrust this creature back into its den, and we can then remove Miss Stoner to some place of shelter and let the county police know what has happened.","en","literature"
"I saw them, but they would not listen, and now they are paying for their folly. I was their sacrificing priest if you kill me, I shall die without having done anything to deserve it, and shall have got no thanks for all the good that I did. Ulysses looked sternly at him and answered, 'If you were their sacrificing priest, you must have prayed many a time that it might be long before I got home again, and that you might marry my wife and have children by her.","en","literature"
"It must be near his time. 'Past it rather, Peter answered, shutting up his book. 'But I think he has walked a little slower than he used, these few last evenings, mother. They were very quiet again. At last she said, and in a steady, cheerful voice, that only faltered once 'I have known him walk withI have known him walk with Tiny Tim upon his shoulder, very fast indeed.","en","literature"
"I didn't mind, for I like 'to see folks eat with a relish', as Hannah says, and the poor man must have needed a deal of food after teaching idiots all day. As I went upstairs after dinner, two of the young men were settling their hats before the hall mirror, and I heard one say low to the other, 'Who's the new party?","en","literature"
"'Give it to me all the same. The man took the four sous. Madame de R continued 'You cannot obtain lodgings in an inn for so small a sum. But have you tried? It is impossible for you to pass the night thus. You are cold and hungry, no doubt.","en","literature"
"True, he said. Then if geometry compels us to view being, it concerns us if becoming only, it does not concern us? Yes, that is what we assert. Yet anybody who has the least acquaintance with geometry will not deny that such a conception of the science is in flat contradiction to the ordinary language of geometricians.","en","literature"
"He waited a moment then gave the door a second and a bolder push. It continued to yield in silence. The opening was now large enough to allow him to pass. But near the door there stood a little table, which formed an embarrassing angle with it, and barred the entrance.","en","literature"
"Captain Smollett, the squire, and Dr. Livesey were talking together on the quarterdeck, and anxious as I was to tell them my story, I durst not interrupt them openly. While I was still casting about in my thoughts to find some probable excuse, Dr. Livesey called me to his side.","en","literature"
"What is my remedy against a robber, that so broke into my house? Appeal to the law for justice. But perhaps justice is denied, or I am crippled and cannot stir, robbed and have not the means to do it. If God has taken away all means of seeking remedy, there is nothing left but patience.","en","literature"
"Trelawney's protestations. Neither did I, to be sure, he was so loose a talker yet in this case I believe he was really right and that nobody had told the situation of the island. 'Well, gentlemen, continued the captain, 'I don't know who has this map but I make it a point, it shall be kept secret even from me and Mr.","en","literature"
"By the time she had caught the flamingo and brought it back, the fight was over, and both the hedgehogs were out of sight 'but it doesn't matter much, thought Alice, 'as all the arches are gone from this side of the ground. So she tucked it away under her arm, that it might not escape again, and went back for a little more conversation with her friend.","en","literature"
"'It certainly sounds feasible. 'Well, we will take it as a working hypothesis for want of a better. Boone, as I have told you, was arrested and taken to the station, but it could not be shown that there had ever before been anything against him. He had for years been known as a professional beggar, but his life appeared to have been a very quiet and innocent one.","en","literature"
"I took the hand of Elizabeth. 'You are sorrowful, my love. Ah! If you knew what I have suffered and what I may yet endure, you would endeavour to let me taste the quiet and freedom from despair that this one day at least permits me to enjoy. 'Be happy, my dear Victor, replied Elizabeth 'there is, I hope, nothing to distress you and be assured that if a lively joy is not painted in my face, my heart is contented.","en","literature"
"With tears the hero spoke, and at his prayer The god relenting clear'd the clouded air Forth burst the sun with allenlightening ray The blaze of armour flash'd against the day. 'Now, now, Atrides! cast around thy sight If yet Antilochus survives the fight, Let him to great Achilles' ear convey The fatal newsAtrides hastes away.","en","literature"
"Never having known mother or sisters, he was quick to feel the influences they brought about him, and their busy, lively ways made him ashamed of the indolent life he led. He was tired of books, and found people so interesting now that Mr. Brooke was obliged to make very unsatisfactory reports, for Laurie was always playing truant and running over to the Marches'.","en","literature"
"And uncertainty? Even ignorance? The problem of the value of truth presented itself before usor was it we who presented ourselves before the problem? Which of us is the Oedipus here? Which the Sphinx? It would seem to be a rendezvous of questions and notes of interrogation. And could it be believed that it at last seems to us as if the problem had never been propounded before, as if we were the first to discern it, get a sight of it, and RISK RAISING it?","en","literature"
"Though Hareton has made him a standing jest for six weeks, and I have used more serious measures, and attempted to frighten him out of his idiocy, he gets worse daily and he'll be under the sod before summer, unless you restore him! 'How can you lie so glaringly to the poor child?","en","literature"
"Our eyes met again. It was reckless of me, but I asked Lady Brandon to introduce me to him. Perhaps it was not so reckless, after all. It was simply inevitable. We would have spoken to each other without any introduction. I am sure of that. Dorian told me so afterwards.","en","literature"
"Oftentimes in denying yourself pleasure you do but store the desire in the recesses of your being. Who knows but that which seems omitted today, waits for tomorrow? Even your body knows its heritage and its rightful need and will not be deceived. And your body is the harp of your soul, And it is yours to bring forth sweet music from it or confused sounds.","en","literature"
"So just the stroke, that yet the body stood Erect, then roll'd along the sands in blood. 'Here, proud Polydamas, here turn thy eyes! (The towering Ajax loudinsulting cries) Say, is this chief extended on the plain A worthy vengeance for Prothonor slain? Mark well his port! his figure and his face Nor speak him vulgar, nor of vulgar race Some lines, methinks, may make his lineage known, Antenor's brother, or perhaps his son.","en","literature"
"I have been waiting for you in your library ever since nine o'clock. Finally I took pity on your tired servant and told him to go to bed, as he let me out. I am off to Paris by the midnight train, and I particularly wanted to see you before I left.","en","literature"
"As our little girl emerges from babyhood she finds the life opening before her a bright and happy one, but one hedged about closely by the proprieties, and one in which, from babyhood to old age, she must expect to be always under the control of one of the stronger sex.","en","literature"
"'Spirit! are they yours? Scrooge could say no more. 'They are Man's, said the Spirit, looking down upon them. 'And they cling to me, appealing from their fathers. This boy is Ignorance. This girl is Want. Beware them both, and all of their degree, but most of all beware this boy, for on his brow I see that written which is Doom, unless the writing be erased.","en","literature"
"Because he who conquers does not want doubtful friends who will not aid him in the time of trial and he who loses will not harbour you because you did not willingly, sword in hand, court his fate. Antiochus went into Greece, being sent for by the tolians to drive out the Romans.","en","literature"
"'Not for gold and silver.' said she, 'but for flesh and blood.' The princess asked what she meant, and she said, 'Let me speak with the bridegroom this night in his chamber, and I will give thee the dress.' At last the princess agreed, but she told her chamberlain to give the prince a sleeping draught, that he might not hear or see her.","en","literature"
"Up went a handful of soft snow, and the head turned at once, showing a face which lost its listless look in a minute, as the big eyes brightened and the mouth began to smile. Jo nodded and laughed, and flourished her broom as she called out... 'How do you do?","en","literature"
"Not even Molly. I have a most particular reason. MRS BREEN (All agog.) O, not for worlds. BLOOM Let's walk on. Shall us? MRS BREEN Let's. (The bawd makes an unheeded sign. Bloom walks on with Mrs Breen. The terrier follows, whining piteously, wagging his tail.) THE BAWD Jewman's melt!","en","literature"
"It was when I asked youdo you remember?if you knew Gatsby in West Egg. After you had gone home she came into my room and woke me up, and said 'What Gatsby? and when I described himI was half asleepshe said in the strangest voice that it must be the man she used to know.","en","literature"
"The first to break silence was Luscinda, who thus addressed Don Fernando 'Leave me, Seor Don Fernando, for the sake of what you owe to yourself if no other reason will induce you, leave me to cling to the wall of which I am the ivy, to the support from which neither your importunities, nor your threats, nor your promises, nor your gifts have been able to detach me.","en","literature"
"With equal right they might call themselves critics, and assuredly they will be men of experiments. By the name with which I ventured to baptize them, I have already expressly emphasized their attempting and their love of attempting is this because, as critics in body and soul, they will love to make use of experiments in a new, and perhaps wider and more dangerous sense?","en","literature"
"'Johnny's a silent fellow, he reminded Hook. 'Not now, Smee, Hook said darkly. 'He is only one, and I want to mischief all the seven. Scatter and look for them. The pirates disappeared among the trees, and in a moment their Captain and Smee were alone. Hook heaved a heavy sigh, and I know not why it was, perhaps it was because of the soft beauty of the evening, but there came over him a desire to confide to his faithful bo'sun the story of his life.","en","literature"
"It was a sight to see Queequeg seated over against Tashtego, opposing his filed teeth to the Indian's crosswise to them, Daggoo seated on the floor, for a bench would have brought his hearseplumed head to the low carlines at every motion of his colossal limbs, making the low cabin framework to shake, as when an African elephant goes passenger in a ship.","en","literature"
"I had begun to take comfort too soon, however yesterday morning the blow fell in the very shape in which it had come upon my father. The young man took from his waistcoat a crumpled envelope, and turning to the table he shook out upon it five little dried orange pips.","en","literature"
"Finally, under very peaceful circumstances, there is always less opportunity and necessity for training the feelings to severity and rigour, and now every form of severity, even in justice, begins to disturb the conscience, a lofty and rigorous nobleness and selfresponsibility almost offends, and awakens distrust, 'the lamb,' and still more 'the sheep,' wins respect.","en","literature"
"And as a single leaf turns not yellow but with the silent knowledge of the whole tree, So the wrongdoer cannot do wrong without the hidden will of you all. Like a procession you walk together towards your godself. You are the way and the wayfarers. And when one of you falls down he falls for those behind him, a caution against the stumbling stone.","en","literature"
"Everyone seemed rather out of sorts and inclined to croak. Beth had a headache and lay on the sofa, trying to comfort herself with the cat and three kittens. Amy was fretting because her lessons were not learned, and she couldn't find her rubbers. Jo would whistle and make a great racket getting ready.","en","literature"
"The Greeks consent with loudapplauding cries, And then Eumelus had received the prize, But youthful Nestor, jealous of his fame, The award opposes, and asserts his claim. 'Think not (he cries) I tamely will resign, O Peleus' son! the mare so justly mine. What if the gods, the skilful to confound, Have thrown the horse and horseman to the ground?","en","literature"
"These orders they carried out with such fury that the Florentines could not sustain the attack, but gave way, and were soon in full retreatconquered more by their unfortunate position than by the valour of their enemy. Those in the rear turned towards Pistoia, and spread through the plains, each man seeking only his own safety.","en","literature"
"Some men are born to good luck all they do or try to do comes rightall that falls to them is so much gainall their geese are swansall their cards are trumpstoss them which way you will, they will always, like poor puss, alight upon their legs, and only move on so much the faster.","en","literature"
"I was just abiling with curiosity and I says to myself, Tom Sawyer wouldn't back out now, and so I won't either I'm agoing to see what's going on here. So I dropped on my hands and knees in the little passage, and crept aft in the dark till there warn't but one stateroom betwixt me and the crosshall of the texas.","en","literature"
"It was not really a light it made this light by flashing about so quickly, but when it came to rest for a second you saw it was a fairy, no longer than your hand, but still growing. It was a girl called Tinker Bell exquisitely gowned in a skeleton leaf, cut low and square, through which her figure could be seen to the best advantage.","en","literature"
"'I know you will shoot, you pretty wild creature. Well, shoot away! Dounia raised the revolver, and deadly pale, gazed at him, measuring the distance and awaiting the first movement on his part. Her lower lip was white and quivering and her big black eyes flashed like fire. He had never seen her so handsome.","en","literature"
"If six men were left by Silver, it was plain our party could not take and fight the ship and since only six were left, it was equally plain that the cabin party had no present need of my assistance. It occurred to me at once to go ashore. In a jiffy I had slipped over the side and curled up in the foresheets of the nearest boat, and almost at the same moment she shoved off.","en","literature"
"He talked, and was all the time thinking of his wife, of her condition now, of his son, in whose existence he tried to school himself into believing. The whole world of woman, which had taken for him since his marriage a new value he had never suspected before, was now so exalted that he could not take it in in his imagination.","en","literature"
"For the moment, yes. And is not their humanity to the condemned in some cases quite charming? Have you not observed how, in a democracy, many persons, although they have been sentenced to death or exile, just stay where they are and walk about the worldthe gentleman parades like a hero, and nobody sees or cares?","en","literature"
"We were going halfspeed, keeping right in the middle of the stream, and I listened to the talk about me. They had given up Kurtz, they had given up the station Kurtz was dead, and the station had been burntand so onand so on. The redhaired pilgrim was beside himself with the thought that at least this poor Kurtz had been properly avenged.","en","literature"
"And our wool that was sold in Rome in the time of Juvenal and our flax and our damask from the looms of Antrim and our Limerick lace, our tanneries and our white flint glass down there by Ballybough and our Huguenot poplin that we have since Jacquard de Lyon and our woven silk and our Foxford tweeds and ivory raised point from the Carmelite convent in New Ross, nothing like it in the whole wide world.","en","literature"
"Marius went his way. It seemed to him that the mysterious words of these men, so strangely hidden behind that wall, and crouching in the snow, could not but bear some relation to Jondrette's abominable projects. That must be the affair. He directed his course towards the faubourg SaintMarceau and asked at the first shop he came to where he could find a commissary of police.","en","literature"
"There will not be time for any thing. 'It is unfortunate that they cannot stay longerbut it seems a case of necessity. Mr. John Knightley must be in town again on the th, and we ought to be thankful, papa, that we are to have the whole of the time they can give to the country, that two or three days are not to be taken out for the Abbey.","en","literature"
"In bony, ribby regions of the earth, where at the base of high broken cliffs masses of rock lie strewn in fantastic groupings upon the plain, you will often discover images as of the petrified forms of the Leviathan partly merged in grass, which of a windy day breaks against them in a surf of green surges.","en","literature"
"There was something awful in his unconsciousness of the figure that could have put out its hand and touched him as he stooped over his labour. Not a word was spoken, not a sound was made. She stood, like a spirit, beside him, and he bent over his work. It happened, at length, that he had occasion to change the instrument in his hand, for his shoemaker's knife.","en","literature"
"Sir! I am a pupil of Talma! Fortune formerly smiled on meAlas! Now it is misfortune's turn. You see, my benefactor, no bread, no fire. My poor babes have no fire! My only chair has no seat! A broken pane! And in such weather! My spouse in bed! Ill! 'Poor woman!","en","literature"
"When you are ushered into the receptionroom, should the lady of the house be absent, the head servants will not only serve you with tea and refreshments and offer you hospitalities in their mistress's name, but may, if no one else be there, sit with you in the parlor, entertaining you with conversation until the return of the hostess.","en","literature"
"When the huntsman saw that, he went back and fetched three men to come with buckets and bale out the water. When they could see to the bottom there lay a wild man whose body was brown like rusty iron, and whose hair hung over his face down to his knees.","en","literature"
"With such rivals for the notice of the fair as Mr. Wickham and the officers, Mr. Collins seemed to sink into insignificance to the young ladies he certainly was nothing but he had still at intervals a kind listener in Mrs. Phillips, and was by her watchfulness, most abundantly supplied with coffee and muffin.","en","literature"
"'Mine is a long and a sad tale! said the Mouse, turning to Alice, and sighing. 'It is a long tail, certainly, said Alice, looking down with wonder at the Mouse's tail 'but why do you call it sad? And she kept on puzzling about it while the Mouse was speaking, so that her idea of the tale was something like this 'You are not attending!","en","literature"
"At that moment, with eyes already shut, he felt the shock of a vigorous hand seizing him, and the swoon in which his senses vanished, hardly allowed him time for the thought, mingled with a last memory of Cosette'I am taken prisoner. I shall be shot. Enjolras, not seeing Marius among those who had taken refuge in the wineshop, had the same idea.","en","literature"
"A little light penetrates towards midday. The inconvenient point about these chambers which, as the reader sees, are not dungeons, is that they allow the persons who should be at work to think. So Brujon meditated, and he emerged from the chamber of punishment with a rope. As he had the name of being very dangerous in the Charlemagne courtyard, he was placed in the New Building.","en","literature"
"It was this morality itself which piled up the strength so enormously, which bent the bow in so threatening a mannerit is now 'out of date,' it is getting 'out of date.' The dangerous and disquieting point has been reached when the greater, more manifold, more comprehensive life IS LIVED BEYOND the old morality the 'individual' stands out, and is obliged to have recourse to his own lawgiving, his own arts and artifices for selfpreservation, selfelevation, and selfdeliverance.","en","literature"
"The meal happened to be a makebelieve tea, and they sat around the board, guzzling in their greed and really, what with their chatter and recriminations, the noise, as Wendy said, was positively deafening. To be sure, she did not mind noise, but she simply would not have them grabbing things, and then excusing themselves by saying that Tootles had pushed their elbow.","en","literature"
"Here and there he halted, accosted the little boys and girls, and smiled upon the mothers. He visited the poor so long as he had any money when he no longer had any, he visited the rich. As he made his cassocks last a long while, and did not wish to have it noticed, he never went out in the town without his wadded purple cloak.","en","literature"
"There Nestor and Idomeneus oppose The warrior's fury there the battle glows There fierce on foot, or from the chariot's height, His sword deforms the beauteous ranks of fight. The spouse of Helen, dealing darts around, Had pierced Machaon with a distant wound In his right shoulder the broad shaft appear'd, And trembling Greece for her physician fear'd.","en","literature"
"This delay was the first thing that shook Kurtz's confidence. One morning he gave me a packet of papers and a photographthe lot tied together with a shoestring. 'Keep this for me,' he said. 'This noxious fool' (meaning the manager) 'is capable of prying into my boxes when I am not looking.' In the afternoon I saw him.","en","literature"
"'Stranger,' said she, 'it seems to me that you like starving in this wayat any rate it does not greatly trouble you, for you stick here day after day, without even trying to get away though your men are dying by inches.' ''Let me tell you,' said I, 'whichever of the goddesses you may happen to be, that I am not staying here of my own accord, but must have offended the gods that live in heaven.","en","literature"
". One begins to distrust very clever persons when they become embarrassed. . Dreadful experiences raise the question whether he who experiences them is not something dreadful also. . Heavy, melancholy men turn lighter, and come temporarily to their surface, precisely by that which makes others heavyby hatred and love.","en","literature"
"She tried to put it more comfortably. 'I can't do with that, he said 'it's not high enough. Catherine brought another to lay above it. 'That's too high, murmured the provoking thing. 'How must I arrange it, then? she asked despairingly. He twined himself up to her, as she half knelt by the settle, and converted her shoulder into a support.","en","literature"
"Here they unharnessed the mules and turned them out to feed on the sweet juicy herbage that grew by the water side. They took the clothes out of the waggon, put them in the water, and vied with one another in treading them in the pits to get the dirt out.","en","literature"
"'We are not prepared,' said they, 'to stay with a man who kills seven at one stroke.' The king was sorry that for the sake of one he should lose all his faithful servants, wished that he had never set eyes on the tailor, and would willingly have been rid of him again.","en","literature"
"By the door there was a dish filled with sweetened milk with little pieces of white bread floating in it. He was so pleased he almost laughed, as he was even hungrier than he had been that morning, and immediately dipped his head into the milk, nearly covering his eyes with it.","en","literature"
"'Shall I have a nurse? I asked. 'We are the best nurses, you and I. You keep watch all night see that she is well fed, and that nothing disturbs her. You must not sleep all the night. Later on we can sleep, you and I. I shall be back as soon as possible.","en","literature"
"With a grave severity in my manner I bade her stand up. 'So, I exclaimed, 'Miss Catherine, you are tolerably far on, it seems you may well be ashamed of them! A fine bundle of trash you study in your leisure hours, to be sure why, it's good enough to be printed!","en","literature"
"It would not be worth the enclosing, and we should see him give up again to the wild common of nature, whatever was more than would supply the conveniencies of life to be had there for him and his family. Sect. . Thus in the beginning all the world was America, and more so than that is now for no such thing as money was any where known.","en","literature"
"As a favour! Fancy that! Katerina Ivanovna's father who had been a colonel and almost a governor had sometimes had the table set for forty persons, and then anyone like Amalia Ivanovna, or rather Ludwigovna, would not have been allowed into the kitchen. Katerina Ivanovna, however, put off expressing her feelings for the time and contented herself with treating her coldly, though she decided inwardly that she would certainly have to put Amalia Ivanovna down and set her in her proper place, for goodness only knew what she was fancying herself.","en","literature"
"'Go along, said Vronsky, putting on the coat his valet handed to him. 'Where are you off to? asked Yashvin. 'Oh, here are your three horses, he added, seeing the carriage drive up. 'To the stables, and I've got to see Bryansky, too, about the horses, said Vronsky. Vronsky had as a fact promised to call at Bryansky's, some eight miles from Peterhof, and to bring him some money owing for some horses and he hoped to have time to get that in too.","en","literature"
"So true, so sweet, so noble, so little an egoistand that, let me tell you, is much in this age, so sceptical and selfish. And you, sirI have read all the letters to poor Miss Lucy, and some of them speak of you, so I know you since some days from the knowing of others but I have seen your true self since last night.","en","literature"
"It was from her that we learned that the pinnacle of rock that dominated the village was built by tengu long ago, though now they were all gone from the woods, for she had looked for them often at night when she went out to shut the house, but she had never seen one,and even the monkeys were becoming scarce.","en","literature"
"But this time I somehow got to talking to him about his wife and young ones and by and by he says 'What makes me feel so bad dis time 'uz bekase I hear sumpn over yonder on de bank like a whack, er a slam, while ago, en it mine me er de time I treat my little 'Lizabeth so ornery.","en","literature"
"'It'll be all the better, Agafea Mihalovna, it won't mildew, even though our ice has begun to thaw already, so that we've no cool cellar to store it, said Kitty, at once divining her husband's motive, and addressing the old housekeeper with the same feeling 'but your pickle's so good, that mamma says she never tasted any like it, she added, smiling, and putting her kerchief straight.","en","literature"
"As he told his story Smerdyakov glanced at him from time to time, but for the most part kept his eyes averted. When he had finished he was evidently agitated and was breathing hard. The perspiration stood out on his face. But it was impossible to tell whether it was remorse he was feeling, or what.","en","literature"
"But, the Evrmonde people are to be exterminated, and the wife and child must follow the husband and father. 'She has a fine head for it, croaked Jacques Three. 'I have seen blue eyes and golden hair there, and they looked charming when Samson held them up. Ogre that he was, he spoke like an epicure.","en","literature"
"When? 'Yesterday. 'But to whom? 'To an English lawyer named Norton. 'But she could not love him. 'I am in hopes that she does. 'And why in hopes? 'Because it would spare your Majesty all fear of future annoyance. If the lady loves her husband, she does not love your Majesty.","en","literature"
"One of the legs had been badly injured in the events of that morningit was nearly a miracle that only one of them had beenand dragged along lifelessly. It was only when he had reached the door that he realised what it actually was that had drawn him over to it it was the smell of something to eat.","en","literature"
"But this insatiate, the commission given By fate exceeds, and tempts the wrath of heaven Lo, how his rage dishonest drags along Hector's dead earth, insensible of wrong! Brave though he be, yet by no reason awed, He violates the laws of man and god. THE JUDGMENT OF PARIS 'If equal honours by the partial skies Are doom'd both heroes, (Juno thus replies,) If Thetis' son must no distinction know, Then hear, ye gods!","en","literature"
"Some of you say, 'It is the north wind who has woven the clothes we wear. And I say, Ay, it was the north wind, But shame was his loom, and the softening of the sinews was his thread. And when his work was done he laughed in the forest.","en","literature"
"It was no paler and but littler thinner than in the autumn, yet there was a strange, transparent look about it, as if the mortal was being slowly refined away, and the immortal shining through the frail flesh with an indescribably pathetic beauty. Jo saw and felt it, but said nothing at the time, and soon the first impression lost much of its power, for Beth seemed happy, no one appeared to doubt that she was better, and presently in other cares Jo for a time forgot her fear.","en","literature"
"The little Gardiners, attracted by the sight of a chaise, were standing on the steps of the house as they entered the paddock and, when the carriage drove up to the door, the joyful surprise that lighted up their faces, and displayed itself over their whole bodies, in a variety of capers and frisks, was the first pleasing earnest of their welcome.","en","literature"
"'I'll smash it! she continued, striking it with childish spite, 'and then I'll burn it! and she took and dropped the misused article among the coals. 'There! he shall buy another, if he gets me back again. He'd be capable of coming to seek me, to tease Edgar. I dare not stay, lest that notion should possess his wicked head!","en","literature"
"And the word all means something. 'It means nothing. I talked rot, and every one began repeating it. 'But what need had you to 'talk rot,' as you call it? 'The devil knows. From bravado perhaps ... at having wasted so much money.... To try and forget that money I had sewn up, perhaps ...","en","literature"
"He did not keep still for a moment while Gregor was speaking, but moved steadily towards the door without taking his eyes off him. He moved very gradually, as if there had been some secret prohibition on leaving the room. It was only when he had reached the entrance hall that he made a sudden movement, drew his foot from the living room, and rushed forward in a panic.","en","literature"
"Good artists exist simply in what they make, and consequently are perfectly uninteresting in what they are. A great poet, a really great poet, is the most unpoetical of all creatures. But inferior poets are absolutely fascinating. The worse their rhymes are, the more picturesque they look. The mere fact of having published a book of secondrate sonnets makes a man quite irresistible.","en","literature"
