"text","language","style"
"Shares in the telecom equipment maker edged lower yesterday. LoJack buys Canadian tracking company LoJack Corp. which makes devices for recovering stolen cars, agreed to buy Boomerang Tracking Inc. for about \$48 million to expand into Canada. LoJack will pay about \$4. LoJack said. Westwood-based LoJack also gets Boomerang's cash balance of \$12 million.","en","news"
"according to scientists who have found the earliest evidence of winemaking from Anti spam bid canned The screensaver launched last week appeared to be a victim of its own success after it was believed over 100, SAN FRANCISCO -- Oracle Corp. has unveiled Business Intelligence 10g, a stand-alone product that executives said will provide query,","en","news"
"his second consecutive victory and the Andretti Green Racing team #39;s seventh win in 12 races. Two of the greatest female track and field athletes in history crashed and burned within two minutes of each other on a dramatic Sunday night of competition at the Olympic Games. If international gymnastics is a brick house,","en","news"
"Bangladesh wins \$2bn India deal Indian conglomerate Tata is to invest \$2bn in a power plant in Bangladesh, the country's single largest foreign investment ever. Oil Prices Hit \$48 a Barrel as Iraq Violence Flares Oil prices struck a fresh record today on violence in Iraq and evidence that strong demand growth in China and India has not slowed due to higher energy costs.","en","news"
"insisting he would finish his holiday in Sardinia despite a bomb scare in the seaside town where Tony Blair ended a flying visit yesterday. A riot taking place Wednesday at La Esperanza Jail, in Mariona, in the outskirts of El Salvador, left a toll of 30 dead and 28 injured,","en","news"
"Courtney Kupets had ruptured her left Achilles' tendon. Last night, they were both on the Olympic medal stand with medals. The day after, as the US regrouped from another loss and looked ahead to the medal round, the name of Sarunas Jasikevicius still resonated. The Lithuanian point guard torched the Yanks for 28 points in a 94-90 victory Saturday night.","en","news"
"NetApp strengthens partnership with Oracle and VERITAS By edu h. lopez. Network Appliance (NetApp) has unveiled its strategy for the Philippine market as it strengthens its strategic partnership with Oracle and VERITAS. Broadband Use Passes Dial-Up Just over half of US Internet users now connect through broadband, according to a new survey.","en","news"
"Michael Phelps won his fourth gold medal at the Olympic Games in the men #39;s 200m individual medley here on Thursday. The Olympic hosts are winning rave reviews after the first week of the Athens Games, with foreign visitors expressing delight with the friendly, clean and well-organised Greek capital. NFL ROUNDUP Flutie Eases Back in After Knee Surgery an Diego Chargers quarterback Doug Flutie participated yesterday in his first full practice since having arthroscopic surgery on his left knee Aug.","en","news"
"we look for other story lines to sustain the golf season. The back nine: Federer #39;s Olympics end unexpectedly early with two losses Roger Federer gathered his racket bag and trudged off the court, ignoring fans #39; autograph requests as he headed straight for the exit. Greece #39;s top two sprinters should finally get to put their case on Wednesday in a drugs investigation that has shamed and angered the Olympic host nation.","en","news"
"posted the fastest heat time as she opened the defense of her  100 freestyle crown on Wednesday. Leading Spanish cyclist Iban Mayo will  probably miss next month's Tour of Spain because of a suspected  viral infection, his team manager said on Wednesday. Greek duo quit Olympics The two Greek sprinters who missed drug tests prior to the start of the Athens Olympics today withdrew from the games.","en","news"
